time	V(n002)	V(n011)
3.702146810542041e-03	3.436961e+00	-1.293866e-01
3.711912435542041e-03	3.430343e+00	-1.326612e-01
3.721678060542041e-03	3.423923e+00	-1.358385e-01
3.731443685542041e-03	3.417702e+00	-1.389186e-01
3.741209310542041e-03	3.411679e+00	-1.419015e-01
3.750974935542041e-03	3.405853e+00	-1.447878e-01
3.760740560542041e-03	3.400222e+00	-1.475782e-01
3.770506185542041e-03	3.394785e+00	-1.502737e-01
3.780271810542041e-03	3.389539e+00	-1.528754e-01
3.790037435542041e-03	3.384482e+00	-1.553843e-01
3.799803060542041e-03	3.379611e+00	-1.578019e-01
3.809568685542041e-03	3.374924e+00	-1.601292e-01
3.819334310542041e-03	3.370419e+00	-1.623677e-01
3.829099935542041e-03	3.366091e+00	-1.645187e-01
3.838865560542041e-03	3.361940e+00	-1.665831e-01
3.848631185542041e-03	3.357963e+00	-1.685623e-01
3.858396810542041e-03	3.354157e+00	-1.704571e-01
3.868162435542041e-03	3.350521e+00	-1.722684e-01
3.877928060542041e-03	3.347053e+00	-1.739971e-01
3.887693685542041e-03	3.343753e+00	-1.756437e-01
3.897459310542041e-03	3.340618e+00	-1.772088e-01
3.907224935542040e-03	3.337649e+00	-1.786926e-01
3.916990560542040e-03	3.334845e+00	-1.800953e-01
3.926756185542041e-03	3.332205e+00	-1.814170e-01
3.936521810542041e-03	3.329731e+00	-1.826575e-01
3.946287435542041e-03	3.327423e+00	-1.838165e-01
3.956053060542040e-03	3.325281e+00	-1.848935e-01
3.965818685542041e-03	3.323307e+00	-1.858878e-01
3.975584310542041e-03	3.321503e+00	-1.867988e-01
3.985349935542041e-03	3.319870e+00	-1.876254e-01
3.995115560542040e-03	3.318411e+00	-1.883665e-01
4.004881185542041e-03	3.317129e+00	-1.890208e-01
4.014646810542041e-03	3.316025e+00	-1.895870e-01
4.024412435542041e-03	3.315105e+00	-1.900633e-01
4.034178060542040e-03	3.314370e+00	-1.904482e-01
4.043943685542041e-03	3.313825e+00	-1.907397e-01
4.053709310542041e-03	3.313473e+00	-1.909359e-01
4.063474935542041e-03	3.313320e+00	-1.910346e-01
4.073240560542040e-03	3.313369e+00	-1.910336e-01
4.083006185542041e-03	3.313625e+00	-1.909306e-01
4.092771810542041e-03	3.314093e+00	-1.907232e-01
4.102537435542041e-03	3.314778e+00	-1.904091e-01
4.112303060542040e-03	3.315685e+00	-1.899856e-01
4.122068685542041e-03	3.316819e+00	-1.894505e-01
4.131834310542041e-03	3.318185e+00	-1.888012e-01
4.141599935542041e-03	3.319787e+00	-1.880355e-01
4.151365560542040e-03	3.321630e+00	-1.871510e-01
4.161131185542040e-03	3.323719e+00	-1.861458e-01
4.170896810542041e-03	3.326056e+00	-1.850179e-01
4.180662435542041e-03	3.328646e+00	-1.837658e-01
4.190428060542041e-03	3.331491e+00	-1.823881e-01
4.200193685542040e-03	3.334592e+00	-1.808836e-01
4.209959310542041e-03	3.337953e+00	-1.792519e-01
4.219724935542041e-03	3.341572e+00	-1.774924e-01
4.229490560542041e-03	3.345450e+00	-1.756054e-01
4.239256185542040e-03	3.349586e+00	-1.735912e-01
4.249021810542041e-03	3.353979e+00	-1.714507e-01
4.258787435542041e-03	3.358625e+00	-1.691853e-01
4.268553060542041e-03	3.363521e+00	-1.667964e-01
4.278318685542040e-03	3.368663e+00	-1.642860e-01
4.288084310542041e-03	3.374047e+00	-1.616564e-01
4.297849935542041e-03	3.379668e+00	-1.589101e-01
4.307615560542041e-03	3.385520e+00	-1.560498e-01
4.317381185542040e-03	3.391597e+00	-1.530784e-01
4.327146810542041e-03	3.397892e+00	-1.499989e-01
4.336912435542041e-03	3.404400e+00	-1.468145e-01
4.346678060542041e-03	3.411114e+00	-1.435284e-01
4.351584113052170e-03	3.414563e+00	-1.418401e-01
4.357269608711653e-03	3.418621e+00	-1.398530e-01
4.362847787561750e-03	3.422666e+00	-1.378722e-01
4.365322365085096e-03	3.424480e+00	-1.369838e-01
4.367380188625094e-03	3.425998e+00	-1.362404e-01
4.368408250444036e-03	3.426759e+00	-1.358675e-01
4.369618882675934e-03	3.427659e+00	-1.354271e-01
4.370764547505132e-03	3.428512e+00	-1.350090e-01
4.372453977275218e-03	3.429775e+00	-1.343903e-01
4.374265804400218e-03	3.431136e+00	-1.337237e-01
4.377345544727700e-03	3.433463e+00	-1.325837e-01
4.380510457720014e-03	3.435873e+00	-1.314030e-01
4.386804035030003e-03	3.440720e+00	-1.290281e-01
4.394276498810870e-03	3.446568e+00	-1.261625e-01
4.404042123810870e-03	3.454356e+00	-1.223451e-01
4.413807748810870e-03	3.462305e+00	-1.184482e-01
4.423573373810870e-03	3.470408e+00	-1.144752e-01
4.433338998810870e-03	3.478658e+00	-1.104290e-01
4.443104623810870e-03	3.487050e+00	-1.063128e-01
4.452870248810870e-03	3.495577e+00	-1.021296e-01
4.462635873810870e-03	3.504233e+00	-9.788236e-02
4.472401498810870e-03	3.513011e+00	-9.357419e-02
4.482167123810870e-03	3.521907e+00	-8.920801e-02
4.491932748810870e-03	3.530913e+00	-8.478680e-02
4.501698373810870e-03	3.540024e+00	-8.031350e-02
